points for each part
Left shoulder
156 133 #2f25eb
156 134 #2b26f1
156 135 #2d25ed
157 132 #3024e9
157 133 #2527f9
157 134 #2328fc
157 135 #2427fa
157 136 #2828f6
158 132 #2c25ef
158 133 #2328fc
158 134 #2228fd
158 135 #2128ff
158 136 #2528fb
158 137 #2927f5
159 132 #2f25ea
159 133 #2627f8
159 134 #2228fd
159 135 #2228fe
159 136 #2329fe
159 137 #2728f8
160 133 #2625f5
160 134 #2228fd
160 135 #2228fe
160 136 #2329fe
160 137 #2528fa
160 138 #2d26ef
161 133 #2825f3
161 134 #2328fc
161 135 #2128ff
161 136 #2229ff
161 137 #2429fc
161 138 #2927f5
162 133 #2b26f1
162 134 #2328fc
162 135 #2228fe
162 136 #2128ff
162 137 #2228fe
162 138 #2627f8
163 133 #2e25ec
163 134 #2427fa
163 135 #2228fe
163 136 #2128ff
163 137 #2128ff
163 138 #2427fb
163 139 #2f25ea
164 134 #2627f8
164 135 #2228fe
164 136 #2228fe
164 137 #2228fe
164 138 #2427fa
164 139 #3124e8
165 134 #2a26f2
165 135 #2328fc
165 136 #2228fe
165 137 #2228fd
165 138 #2726f5
166 135 #2b26f1
166 136 #2828f6
166 137 #2a27f4

right shoulder
472 132 #3125e9
473 131 #2b27f1
473 132 #2528fa
473 133 #272af9
473 134 #2f28ed
474 130 #2e26ed
474 131 #2628f9
474 132 #242bfd
474 133 #252afc
474 134 #2a29f5
475 130 #2828f6
475 131 #2429fc
475 132 #242bfe
475 133 #242bfd
475 134 #2929f6
476 130 #2528fa
476 131 #232bff
476 132 #232bff
476 133 #242bfe
476 134 #282af7
477 130 #2628f9
477 131 #242bfd
477 132 #242bfe
477 133 #242bfd
477 134 #2a29f4
478 130 #2f26ec
478 131 #2728f7
478 132 #2728f8
478 133 #2a29f5

neck
322 89 #2e28ef
322 90 #2c25ef
323 89 #2e28ef
323 90 #2a25ef

torso
328 241 #2e28f0
328 242 #2d28f1
329 241 #2e28f0
329 242 #2e28f0
